context,slot,gold,pred,label
"i am looking for a train departing from cambridge leaving on tuesday .
i have trains departing long kings cross to cambridge on tuesday every 2 hour -s starting at 5:00 , would you like to make a reservation ?
i need 1 that leaves after 13:30 for bishops stortford
how about the tr8017 ? it leaves at 15:29 and arrives at 16:07 in bishops stortford .
and this train leaves from cambridge ? if so could you please book it for 7 people and give me the reference number ?
yes , it leaves from cambridge . i have booked this for you , and your reference number is gixx2m35 .
i am also looking for a place to eat around the centre area that serves gastropub style food .
i found 3 place -s , would you like to try the cow pizza kitchen and bar ?
yes , please book a reservation for 7 people .
is there anything else i can do for you ?
can i get the reference number for that .
what day and time would you like the reservation for ?",restaurant name,cow pizza kitchen and bar,,bot miss
"i am looking for a place to stay . i would like to stay in a guest house that does not need to include internet .
there are a total of 24 guest houses available . acorn guest house has a 4 star rating , offers free wifi and free parking . would you be interested in booking here ?
is that in the center of town ? i do need to be in the center .
acorn guest house is not in the center , however i found 2 guest houses that are . alexander bed and breakfast is 4 stars . would you like to book there ?
yes , please make my reservation at the alexander bed and breakfast .
what day would you like to book on and for how long ?
could i get the phone number ?
i am sorry i cannot find acorn for you . i do however have a 4 star guest house called alexander bed and breakfast . how does that sound ?
that s fine . can i please have the phone number ?
the phone number for the alexander bed and breakfast is 01223525725 . is there anything else i can help with today ?
yes , may i have the address ?
the phone number for alexander bed and breakfast is 01223525725 . is there anything else i can help you with ?
i am also looking for a restaurant that is in the expensive price range and serves spanish food .
unfortunately i do not find any expensive spanish place -s to dine . would you like to try something different ? also the hotel -s address is 56 saint barnabas road .
is there a restaurant in the expensive price range that serves british food ?
there are 6 restaurant -s fitting that criteria . is there a particular area of town that you would like ?",hotel name,alexander bed and breakfast,,bot miss
"yes , can you help me with my hotel plans ?
yes , i can certainly help you with that . is there an area of town you prefer to stay in ? and do you have a price range in mind ?
i want to stay in cambridge and i need a cheap hotel .
i have about 10 options of cheap -er rooms . most are guest houses and 1 is a hotel . do you prefer 1 over the other ?
i prefer a hotel . preferably 1 with free parking .
is there a particular side of town you prefer ?
i would like to be in the center .
the hotel is located in the west . would you like a guest house instead ?
after rethinking some things , i actually would like an expensive hotel in the centre . i would still like free parking as well . are any available ?
i have 2 . would you prefer 3 or 4 stars ?
either is fine .
ok , i will book you in the university arms hotel . how many people are staying in the hotel and for how many nights ?
do they have internet and what is there address ?
yes , they have free wifi . would you like to book a room now ?
no , do not worry about booking the room , just please give me the address for the hotel .
the address is regent street , cb21ad . what else can i do for you ?
i also need a train . it should leave monday from broxbourne and arrive in cambridge by 10:45
the tr 0559 is your best match , it gets you there at 10:32 , interested ?
yes please book that for 8 people .
ok , your reference number is 50dorsny .
thank you for your assistance .",hotel price range,expensive,cheap,value change
"i am looking for some type of entertainment in the centre of town , can you tell me what is available ?
can you be more specific ? there s a lot of different things to do , like restaurant -s , shows , clubs . .
are there any museums ?
there are 11 museums in centre , all with free admission . what type of museum would you like to visit ?
any of those museums will work . will you select 1 for me ? i need their phone number , please .
how about the fitzwilliam museum ? the phone number there is 01223332900 .
that s great . i also need some place to eat someplace moderate that serves corsican food .
i am sorry , there is nothing meeting those requirement -s in that area ? would you like me to look further ?
is there any corsica restaurant -s in the centre of town ? moderate price range",restaurant name,,any,any
"i would like to book a taxi to take me to cineworld cinema from gonville hotel
what time frame would you like this to happen in ?
i would need to arrive by 15:45 please .
booking completed ! booked car type : yellow toyota contact number : 07598718295
ok thanks , that s all i need !",taxi leave at,,15:45,wrong slot
"i am looking for a train to cambridge that leaves on saturday .
the london kings cross travels to cambridge on saturday . where are you leaving from ?
i am leaving from peterborough and want to arrive by 12:30 .
the tr7594 leaves at 05:19 and arrives by 06:09 . would you like me to book it ?
can you tell me the price of the ticket please ?
sure tickets from peterborough to cambridge are 13.20 gbp each .
great i also am looking for a restaurant called dojo noodle bar
dojo noodle bar is an asian oriental restaurant in the cheap price range .
i would like to book dojo noodle bar for 1 at 18:15 on saturday , please .
that time is not available . what other time would work for you ?
how about 17:15 ?",restaurant food,,asian oriental,correct
"can you help me find a train ?
certainly . where will you be traveling ?
from cambridge to petersborough . i am looking for thursday after 12:15
the tr8124 train will leave cambridge , thursday at 12:34 and arrive in peterborough at 13:24 , will that work .
it should , how much is that ticket ?
it would cost 16.50 pounds .
ok , i also need a 2 star place to stay with free parking .
there are 3 options . would you like a recommendation , or do you wish to add a specification ?
i would like a recommendation .
the expensive 1 is actually not much more than the other 2 . i would highly recommend it . that would be at the express by holiday inn cambridge . it s in the east .",hotel parking,yes,free,correct
"i need to find a train going to leicester that arrives by 4:45 pm . do you know of 1 ?
there are many trains going to leicester at the time , where are you departing from and on what day ?
i am departing from cambridge on friday .
tr0623 leaves at 14:21 and will arrive at leicester at 16:06 . the trip will take 105 minutes and will cost 37.80 pounds . would you like to book ?
yes , i need 8 tickets . please send the ref . no . when you are done .
your booking was successful , the total fee is 302.39 gbp payable at the station . your reference number is fi1yoznv . is there anything else i can assist you with ?
i am also looking for a theatre in the centre of town .
how about adc theatre located at park street . the phone number is 01223300085 .
is there an entrance fee for this ?
the entrance fee isnt stated . but if you would like to call them to find out the phone number is 01223300085 . can i help you with anything else ?
what is there address ?
the address is park street and the post code is cb58as .",train arrive by,16:45,20:45,hallucination
"i am planning a trip and need help with a particular hotel .
do you have the hotel name ?
carolina bed and breakfast , please . i want to book it .
great . what nights will you be staying ?
i will be coming in on saturday for 4 nights with 5 guests .",hotel type,,bed and breakfast,correct
"hi , i would like to find a place to stay that include -s free wi fi .
i have quite a few place -s that offer wifi , is there is a certain price range you are looking for ?
something cheap would be good .
i have about 10 different place -s . do you have a preference on the area of town ?
no not really . but i would prefer a hotel and like both free wifi and parking if possible .
the cambridge belfry is a hotel in the west that is cheap and has both free internet and wifi . would you like to book this ?
that s fine . i'll need it for 3 nights starting on sunday .
unfortunately , that day does not work . can we try booking another day or a shorter stay , perhaps ?
is there another hotel that matches that criteria ?
unfortunately that s the only hotel that suits your criteria .
i will try and restate so you can look again , i need free wifi and parking , cheap place , type of room does not matter .
there are 10 place -s that match your criteria . what part of town would you like to stay in ?
it does not matter . whatever is available nearby will be fine .
i will give it a try again . how many people will there be ?
there are 4 of us .
you are booked at the alexander b & b . it is cheap , with wifi and parking included . your reference number is ztrmokwm . is there anything else ?",hotel area,any,west,value change
"are there any guest houses with 3 star rating -s ?
i was able to get 4 results for what you are looking for , is there a certain price range you would like ?
yes definitely . i would like something moderate .
we have 4 guest houses that fit the bill , 2 in the north , 1 in the south , and 1 in the west .
out of those , can you find me 1 with free internet and parking ?
we have 3 that match your criteria but hamilton lodge is very popular . would you like to try there ?
no , i am not ready to book just yet . thank you !",hotel internet,yes,any,any
"hi , can you give me some information on a place to stay in cambridge ? i would prefer some place expensive .
sure , there are 5 expensive hotel -s in cambridge . is there an area you prefer ?
no specific area , but i would like a guest house , rather than a hotel . i would also like a place that s 3 stars .
there are 23 star hotel -s would you like me to book 1 ?
no . are there any 3 star guest houses available at a moderate price that include free wifi ?
yes , there are 3: bridge guest house , hamilton lodge , and hobsons house .
how about the bridge guest house for 5 people for 2 nights starting on tuesday ?
booking was successful . the address is 151 hills road . postcode is cb28rj . the reference number is: 98wbw794 .
great ! i also need a place to dine in the east .
i can help you with that as well ! do you have a specific food preference you are looking for ?
i would love some eastern european food , please .
there are no restaurant -s that serve european food in the area would you like another type of food or another area ?
how about italian ?
we do have an italian place . pizza hut fen ditton . would you like to book a table ?
no , i assume it is moderate -ly priced though ? if so , i just need an address , postcode and phone number .
it is moderate -ly priced . the phone number is 01223323737 . the address and postcode is cambridge retail park newmarket road fen ditton cb58wr .
great , i would also need a taxi to commute from pizza hut to the hotel .
certainly . what time would you like the taxi to meet you at the restaurant ?
i actually need to have the taxi pick me up from the hotel to get to the restaurant . i want to leave the hotel by 07:15 , please .",hotel price range,moderate,expensive,correct
"i am trying to plan a trip there but need a cheap place to stay .
alexander bed and breakfast is located in the centre . they are located at 56 saint barnabas road .
hmm , i am looking for a place in the west . it does not need to include internet .
finches bed and breakfast is cheap .
okay do they have free wifi ?
yes , they have free wifi and free parking !
okay . sounds good . can you tell me the type of hotel and provide me with the hotel s phone number ?
finches is a guest house , and their number is 01223276653 . can i help with anything else today ?
you sure can . i am also quite hungry . do you have any info on a restaurant called wagamama ?
yes , wagamama is a japanese restaurant on the pricey side . would you like their phone number or address ?
that s fine . i would just like to book a reservation for 1 at 18:45 on sunday . & may i have the reference number ?
yes your reference number is afpbis6f .",hotel name,finches bed and breakfast,,bot miss
"i am looking for european restaurant in the centre .
i see there are several , can you make a recommendation ?
i haven't tried any in that area before . what would you suggest ?
i have the eraina that is expensive or the riverside brasserie which is in the moderate range .
can i get the phone number and postcode for eraina , please ?
their phone number is 01223368786 , and postcode is cb23rh .
i also need a cheap place to stay , with free wifi .
i have about 10 different options . to help narrow it down , do you prefer a certain area of town to stay in ?
the same area as the restaurant and i prefer a guest house .
there are 2 guest houses that match your specification -s . the alexander bed and breakfast has 4 stars , and el shaddai has 0 . would you like to book 1 of these ?",restaurant price range,,any,any
"i need to find a restaurant in the centre .
do you prefer a particular type of food or are you looking at a specific price range ?
i would like british food . i have no preference of price range .
there are 7 restaurant -s which meet your needs . the copper kettle is located at 4 kings parade and serves moderate priced meal -s . would you like to make reservations ?
yes i need a table for 6 monday at 18:15 .
your table for 6 is reserved for monday at 18:15 and they'll hold your table for 15 minutes . your reference number is t67zv5us . can i help you with anything else today ?
i am also looking for an attraction , some type of boat .
i have 4 listings . 1 in the east , north or 2 in the centre . would you like more information on 1 of them ?
sure , the 1 in the east please .
i have the camboats located at the plough , green end , fen ditton .
could you tell me what the postcode is for the camboats ?
the postcode is cb58sx . would you like the phone number ?
no , what the address and area of town , also i will be needing a cab as well .
camboats is located at the plough , green end , fen ditton , in the east side of town .
ok ! thank you ! can you get me a taxi to cambots ?
absolutely ! just let me know where you would like to depart from , and either what time you want to leave or arrive by .
i need to be at camboats by 8:15
what will be your depature site ?
sorry , actually i need to go from camboats to the copper kettle . i want to get there by 18:15 .
booking completed ! booked car type : grey lexus contact number : 07939286212
thank you . what a relief everything is set up now . again , thanks . goodbye .",taxi destination,copper kettle,camboats,value change
"hi , can you please give me information on a restaurant called midsummer house restaurant located in cambridge ?
this is a british restaurant found in the center of town that is in the expensive price range . what other information do you need ?
can you book this restaurant for 3 people on wednesday at 15:45 ?
i booked it for you the reference number is 5cwu2u98 . is there anything else ?",restaurant price range,,expensive,correct
"hi , can you give me some information on a place to stay in cambridge ? i would prefer some place expensive .
sure , there are 5 expensive hotel -s in cambridge . is there an area you prefer ?
no specific area , but i would like a guest house , rather than a hotel . i would also like a place that s 3 stars .
there are 23 star hotel -s would you like me to book 1 ?
no . are there any 3 star guest houses available at a moderate price that include free wifi ?
yes , there are 3: bridge guest house , hamilton lodge , and hobsons house .
how about the bridge guest house for 5 people for 2 nights starting on tuesday ?
booking was successful . the address is 151 hills road . postcode is cb28rj . the reference number is: 98wbw794 .
great ! i also need a place to dine in the east .
i can help you with that as well ! do you have a specific food preference you are looking for ?
i would love some eastern european food , please .
there are no restaurant -s that serve european food in the area would you like another type of food or another area ?
how about italian ?
we do have an italian place . pizza hut fen ditton . would you like to book a table ?
no , i assume it is moderate -ly priced though ? if so , i just need an address , postcode and phone number .
it is moderate -ly priced . the phone number is 01223323737 . the address and postcode is cambridge retail park newmarket road fen ditton cb58wr .
great , i would also need a taxi to commute from pizza hut to the hotel .
certainly . what time would you like the taxi to meet you at the restaurant ?
i actually need to have the taxi pick me up from the hotel to get to the restaurant . i want to leave the hotel by 07:15 , please .
i have booked the taxi for you . you will be picked up by a yellow skoda . their phone number is 07297430830
i have it . thanks for your help .",restaurant food,italian,european,value change
"hi , i would like to book a hotel in the north side of the city . do you have any recommendations ?
there are 2 hotel -s in the north . both are in the moderate price range with wi fi and parking . the ashley hotel is very popular . should i book it ?
i need free parking , and like a guest house over any other type .
if you like guest houses there are a lot more options for you . i could recommend archway house , they are moderate -ly priced but rated 4 stars . does that sound good ?
yes , it does . could you see if you could book a party of 8 for 5 nights beginning thursday ?
i was able to book it , reference number is mfigb1d2 .
thank you very much , i would also like help with a train booking going to leicester .
i will be more than happy to help you . are you leaving from cambridge and what time and day will you be going ?
yes it should and i would like to arrive by 18:00
what day would you like to travel on ?
i would like to travel on tuesday .
the tr7007 leaves cambridge to leicester on tuesday leaving at 05:21
that sounds like it would work . can you tell me the cost of the ticket ?
tr7007 costs 37.80 pounds . would you like to book that train ?
no thank you . that s all the information i need to enjoy my trip to cambridge !
should you need anymore help , please reach back out to us .
thank you , i will . have a nice day .",hotel name,archway house,ashley hotel,wrong value
"i am looking for the restaurant named la raza .
yes i have 1 listing for that restaurant , would you like the phone number and address for this listing ?
no . instead , reserve a table for 3 at 18,30 on thursday . please send me the reference number .
ok , you have a table at la raza on thursday at 18:30 for 3 people . your reference number is vh4p10x4 .
i am looking for a hotel called acorn guest house .
the acorn guest house is located in north cambridge , has 4 stars , and offers free internet and parking . would you like to make a reservation ?
what is the price range of the acorn guest house ?
the acorn guest house has a moderate price range
do they have free parking ? i will need that .
yes , they have free parking and free wifi ! would you like to book a room there ?
no thanks , but i will need a taxi from the hotel to la raza , arriving by that reservation time .",hotel stars,,4,search semantics
"hello ! can you give me information about trains going to cambridge and leaving on wednesday ?
there are over 200 trains leaving . do you have a specific time you would like to arrive by ?
i am looking to depart from steveage and leave after 11:15 please .
the first train after 11:15 is the tr6473 , leaving stevenage 11:54 , arriving cambridge 12:43 . would this be to your liking ?
yes please can you book seats for 4 people and give me the reference number ?
your booking was completed and the total fee is 51.2 gbp payable at the station . reference number is : hhbt7e2n .
i also need a place to stay . can you recommend an expensive hotel in the north ?
unfortunately there are no expensive hotel -s in the north . i could check another area if you would like .
are there any expensive place -s to stay in the north ? it does not need to be a hotel , but i would like free parking .
unfortunately , there are no hotel -s available with your preferences . would you like me to find you 1 in a different price range or area ?
how about 1 in the east ?
i have the express by holiday inn cambridge that is expensive . would you like to book a stay ?
yes please , book the hotel and give the address with the postcode . thanks .",hotel type,any,hotel,wrong value
"i am looking for suggestions for a cheap -er restaurant in the center of town .
i have several listings available for you to choose from , is there any preference on the type of food they serve for you ?
not really . just get me a table for 3 on tuesday at 17:00
would you like me to book you a table at dojo noodle bar at 40210 millers yard city centre for tuesday at 17:00 for 3 people ?
yes please , if that time does not work , we can try for 16:00 .
your booking for 3 at the dojo noodle bar for tuesday at 16:00 . your reference number is v65s4lw2 .
i also need a hotel with free parking and free wifi .",hotel type,,hotel,correct
"i am trying to find out about trains that arrive in cambridge
there are quite a few trains coming into cambridge . where will you be departing from ?
i want to arrive by 16:15
okay . first , let s find out you are departing from .
i will be departing from stevenage and going to cambridge .
there s a train running every day leaving at 13:54 and arriving at 14:43 . did you have a particular day in mind ?
i am looking to travel on monday .
the latest train arrives by 14:43 would you like me to book that for you ?
that should work ! i will also need a place to stay . i am looking for a guest house in the centre of town , in the expensive range . it should include free wifi as well .
i am terribly sorry no guest houses are available , how about a hotel stay instead ?
sure , let s look at hotel -s instead , then .
i found 2 hotel -s do you want the detail information for the hotel -s ?
do either of them have free parking included ?",hotel book day,,monday,correct inferred
"i am looking for a and b guest house
it is a moderate -ly priced guest house on the east side of town . it does not offer free parking . do you want more information ?
yes book it for 4 people and 3 nights starting from thursday .
ok . i was able to complete the booking . your reference number is 3pqeeni7 .
wow , thanks . could you please also find me a college to visit in the centre area ?
there are 13 colleges in the centre . many of them are free . would you like me to suggest 1 ?
is there 1 you would recommend ?",hotel parking,,no,correct
"i am looking for a place called kambar
sure , i found it ! it s located at 1 wheeler street . it s a nightclub in the city s centre and it has a 5 pounds entrance fee .
please give me their postcode
the postcode for kambar is cb23qb .
i also need a place to stay , a hotel with free parking and in the center of town .
i have 2 hotel -s in the expensive price range and 2 guest houses in the cheap price range . do you have a preference ?
i would prefer a guest house
i have 2 to choose from . may i recommend the alexander bed and breakfast ?
that would be fine . could you tell me how many stars it has ?
it has 4 stars . can i book a room for you ?
no whats the price range , postcode please ?
it s in the cheap price range and the post code is cb12de .
can you help me with a taxi also please ?
where are you leaving from and going to ? when do you want to leave by or arrive by ?",hotel name,alexander bed and breakfast,,bot miss
"i am looking for a cinema in cambridge .
we have 2 cinemas: cineworld in the south , and vue in the center of town .
that s great , thank you for your help !
would you prefer something in the center of town , or in the south ?
any area is fine . i am also looking for a restaurant in the centre that serves spanish food .
there are 2 restaurant -s that fit your criteria . is there a price range you are looking for ?
i would like something that is on the cheap -er side .
sure , la raza is spanish food and is cheap . would you like to book a table ?
yes , i would like a table for 8 at 11:15 on sunday .
booking was successful . the table will be reserved for 15 minutes . reference number is : n9pfyzml . can i help you with anything else ?
yes i need a taxi between cinema and restaurant . what do you recommend ?
i need more information to book that taxi . first , which cinema did you decide to visit ?
i suppose the 1 in the centre makes more sense , since it s close to the restaurant .",restaurant area,centre,any,any
"i am looking for a 3 star hotel in cambridge with free wifi
there are 5 hotel -s that meet that criteria . do you have a location or price range in mind ?
i would like something cheap .
unfortunately , none of the cheap hotel -s have free wifi . would you prefer to try a different price range or go with a hotel without free wifi ?
how about a hotel with a 4 star rating ?
there are many what area would you like to stay in ?
kindly recommend 1 of the many in the area and send me the address .",hotel type,,hotel,correct
"hello ! i am looking for train schedules from leicester . can you help me with that ?
sure ! there are several trains leaving from leicester . what destination , day and time would you like me to search ?
i like a train going to cambridge on tuesday please .
okay . it looks as if there are trains leaving leicester for cambridge every hour starting at 5:09 and ending at 23:09 on tuesday .
pick 1 . i need the travel time and arrival time . any 1 after 20:15 .
you have 1 leaving at 21:09 , what time do you want to arrive by ?
thank you that will work fine for me and my husband
the booking was successful . your reference number is rwrkp9l6
i also need a hotel with free wifi and free parking .
i have several excellent options . did you have an area of town in mind ?
no , i just would like a guest house .
sure , i would suggest acorn guest house at 154 chesterton road cb41da . it s moderate -ly priced with 4 stars . would that work for you ?
can you please make a reservation for just me , for 4 nights starting tuesday ?
your reference number is hyedh9o5 , anything else i can help you with ?
no thank you , you have been very helpful . have a great day .",hotel internet,yes,any,any
"can you get me information on a restaurant called mahal of cambridge ?
sure it is a cheap indian restaurant in the town centre . i hear it has great food .
do you think they would be able to make reservations for a party of 7 ?
i can help you with that . when would you like to make the reservation for ?
17:45 for a table of 7 for the restaurant stated above . thank you !
what day would you like that reservation for ?
oh , tuesday please . and if you could give me a reference number , that'd be great .
i have successfully booked your table ! your reference number is woq10j3g . anything else i can help you with today ?
i would also like the address of a museum in the centre of town
primavera is a museum in the center of town . their address is 10 king s parade . what else can i help with ?
oh , i made a mistake . i really need that table for 16:15 , not 17:45 . can you change it , do you thing ?
yes , i already changed it for you . your new reference number is btmsngcd .",restaurant book time,16:15,17:45,value change
"i am looking for an expensive place to eat .
we have plenty of high end expensive options in cambridge , 57 to be exact . anything i can do to narrow down your options ?
are there any japanese restaurant -s in the centre of town ?
there are not any expensive japanese restaurant -s in the centre , but there is a moderate -ly priced 1 . would that work for you ?
could you check again for an expensive 1 ?
it is wagamama , would you like a reservation ?
yes i need it monday at 17:45 for 3 people .
booking was successful . the table will be reserved for 15 minutes . reference number is : d77jcgj2 .
thanks . i am also looking for hobsons house . do you know where it is ?
yes , that s a great guest house in the west . it s address is 96 barton road
i would like to book rooms for the same group of people for 2 nights starting monday .
booking was successful . reference number is : sai2ffes . can i be of more assistance ?
yes i also need a taxi that will get me to the restaurant by the booked time please .",hotel price range,,expensive,domain
"hey , are there any interesting attractions in towncentre today ?
great saint mary s church is an architecture location in the centre of town .",attraction area,centre,,miss
"do you know where i can find the holy trinity church ?
absolutely . holy trinity church is on market street in the centre of town . their postcode is cb23nz and is free to enter . would you need their phone number ?
great what type of attraction are they ?",attraction name,holy trinity church,,miss
"i am looking for a moderate -ly priced place to dine in the centre of cambridge
is there any specific type of food you are wanting ?
i would like a polynesian restaurant , please .
unfortunately there are no polynesian restaurant -s located in cambridge , were you wanting any other type of food ?
are there any turkish restaurant -s ?
i have 2 turkish restaurant -s in the centre , both are moderate -ly priced . anatolia and efes restaurant , would you like to book at either 1 of them ?
could you tell me more about their location -s ? do they offer free parking ? how far are each of them from my hotel ?
1 is at 30 bridge street city centre , and the other is at king street city centre
please book the 1 at 30 bridge street . can you also give me the postcode and phone number ?
that would be the anatolia restaurant . the postcode is cb21uj , phone 01223362372 . how many are in your party and what day would you like the reservation ?
i'll be dining saturday at 7 pm , there are 3 in my party . also , i need to know if there are any trains leaving sunday going to peterborough .
yes , there are plenty of trains leaving cambridge going to peterborough . what time would you like to leave or arrive ?
i would like to leave after 8:30 on sunday .
train tr8821 departs cambridge at 08:34 , the cost is 13.2 pounds . should i book it for you ?
real quickly , what is the travel time ?",train day,,sunday,correct
"i saw a place -s with a weird name , cafe jello gallery . can you tell me more about it ?
cafe jello is a museum in the west part of town .
can you give me the address , please ?
yes , the address is cafe jello gallery , 13 magdalene street . would you like more information ?
no thanks . but i could use some help with finding a train into cambridge .
i would be happy to help with that . where are you leaving from , and what day and time ?
i am leaving from norwich on thursday . i need to arrive by 9 .
tr3948 arrives at 08:35 , shall i book a ticket for you ?
yes , please book it .
certainly ! can you tell me how many tickets you will be needing ?
i have booked you 1 train ticket for cafe jello in cambridge . train number tr3948 departs from norwich and arrives to cambridge on thursday at 8:35 .
that s interesting , considering you are the customer ! can you tell me how many tickets you will need on that train ?
i need the train id instead , please .
looks like it s tr3948 .",train arrive by,09:00,9,correct
"i want to find a moderate -ly priced restaurant .
i have many options available for you ! is there a certain area or cuisine that interests you ?
yes i would like the restaurant to be located in the center of the attractions .
there are 21 restaurant -s available in the centre of town . how about a specific type of cuisine ?
i need to know the food type and postcode and it should also have mutliple sports
i am sorry i do not understand what you just said . please repeat in a way that makes sense .
get me the food type and the post code
my favorite it the copper kettle at 4 kings parade city centre cb21sj . it serves british food . does that interest you ?
absolutely ! thank you ! i also need information on the attractions that have multiple sports in town , in the same area as the restaurant please .
the only multiple sports attraction is located in the east of town . would you like more information ?",restaurant food,,british,correct
"what kind of attraction are there here ?
there are many attractions around cambridge depending on what you are looking for . do you have a specific area of town in mind ?
actually , i am interested in a restaurant called rice house .
yes the rice house is cheap and located in the center and their telephone number is 01223367755 . they serve chinese food .
great . can you reserve a table for 7 on friday at 13:30 ?
yes , i can take of that reservation for you .
thank you . i'll need a reference number , please ?
booking was successful . the table will be reserved for 15 minutes . reference number is : of78tyxx . anything else ?
i am looking for a place called the man on the moon , can you give me their phone number and postcode please
sure , their phone number is 01223474144 , post code cb12lf",attraction type,,restaurant,domain
"i need a train leaving after 10:00 .
what is your destination ?
i need to leave cambridge after 10:00 and go to norwich on monday .
i have a train that leaves at 10:36 and every hour on the :36 with the last 1 being at 23:36 . which 1 would you like to book ?
the first 1 is fine . i just need 1 ticket , please .
you are all set . the train id is tr9202 and it is 17.60 pounds . the reference number is fptnvlxh .
i would also like some where fun to go in the south of town .
i would be happy to help with that ! what sort of activity are you interested in ? there is a variety in that area including , parks , night clubs , and theatre .
i would like 1 in the type of entertainment please
there are 2 entertainment options in the south . i recommend nusha .
could you give me more info on that place then ?",train leave at,10:36,after 16:30,hallucination
"i need info on a train that would be departing from peterborough .
and what day and time ?
i would like to leave on sunday and arrive in cambridge by 15:15 .
i have train tr7864 leaving at 14:19 and arriving at 15:09 . would you like to book that ?
that'd be perfect , i need 3 tickets on sunday .
booking was successful , the total fee is 39.59 gbp payable at the station . reference number is : hs2ffybi . is there anything else i can assist you with today ?
i am also looking for information on a place called the man on the moon .
the man on the moon is a concerthall in the centre ? would you like to know anything else ?
yes can i get the address to that please ?
yes , the address is 2 norfolk street .
can you tell me what the area of town is ? can i get the phone number too please ?
it s located in the centre of town . the phone number is 01223474144 . do you need assistance with anything else ?",train arrive by,15:15,15:30,hallucination
"i am looking for a particular attraction . its name is called the fitzwilliam museum .
the fitzwilliam museum is located in the area of centre . their phone number is 01223332900 . there is no entrance fee . is there anything else i can do for you ?
can you send me the postcode please ?
their postcode is cb21rb
i am also looking for a cheap hotel to crash in . can you find 1 for me ?
there s only 1 cheap hotel in town , the cambridge belfry , located in the west part of town . do you need to book a room ?
does it have a star of 3 ?
no it has 4 star rating .
do you have any expensive hotel -s with a 3 star rating ?
i have 2 different hotel -s for you , both have free wifi and free parking , would you prefer the centre area or the south area ?
what s the phone number for the 1 in the center ?
the hotel located in the centre of town is gonville hotel and their phone number is 01223366611 . is there anything else you need ?
no that will be all thank you",hotel type,hotel,any,any
"i am looking to plan a trip i am looking to book some tickets at a place called abbey pool and astroturf pitch .
abbey pool and astroturf swimming pool east 12239020888 is free to get in there is not tickets for this
what is the address ?
the address is pool way , whitehill road , off newmarket road .
alright thanks for that . can you help me find a train departing from cambridge on monday ?
sure , there are 202 entries . where would your destination be ?
sure i want to go to london kings cross and would like to arrive by 19:45 .
there is a train that arrives at 17:51 the closest before that is a train that arrives at 15:51 . which 1 would you like ?
i would like the 17:51 train please .
would you like me to go ahead and book a ticket for you ?
yes , please . could you give me the total travel time and train id for my records ?
alright , i have you booked on the tr7786 . reference number is : wa4bz1mr . the duration of the trip will be 51 minutes . anything else ?",attraction name,abbey pool and astroturf pitch,,miss
"i want to find a european restaurant in the west .
there is 1 available , the cambridge lodge restaurant , would you like me to book you ?
no , i am just getting some information together . is it expensive ?
yes it is an expensive restaurant , do you want to try a different restaurant ?
let s go with cambridge lodge . i would like to book for 8 at 17:30 on saturday , please .
reference number is : ipxe2sid . is there anything else ?
actually , i want to change the reservation to sunday .
reference number is : isjvy1rc . is there anything else ?
i am also looking for a hotel , it can be expensive , but it needs to have free wifi .
there are 5 expensive hotel -s , all with wifi . could you tell me which location you are wanting to stay in , to narrow it down ?
the area does not matter , which 1 would you recommend ?
sure , i would recommend the huntingdon marriott hotel which is located near the restaurant . would you like a reservation ?
no thanks , just tell me the phone number and type for it please
it is a hotel and the phone number is 01480446000 .
how many stars does this hotel have ?
it is a 4 star hotel .
i need a taxi to go between the 2 place -s , i need a contact number and car type please .
i would be happy to help with your request . first i'll need to know where you are departing from and what time you will need picked up ?
i need the taxi to pick me up at the hotel and take me to the restaurant by 17:30 .
your all set a yellow audi will be picking you up the contact number is 07509141470 , is there anything else you will be needing today ?
no , that was all i needed , thank you so much !",taxi leave at,,17:30,wrong slot
"i am planning a trip in cambridge
great ! is there a certain restaurant you are looking for ?
moderate price in the east . and i need the phone number , address , and food type
i have the curry prince which is indian food . would you like that 1 ?
yes . that would be fine . what is the address and phone number ?
the address is 451 newmarket road fen ditton and the phone number is 01223566388 . would you like me to make a reservation for you ?
not now . im also looking for a train from cambridge .
what is your destination ?
i am going to leicester on wednesday and need to be there by 09:15 .
tr3093 departs at 07:21 and arrives by 09:06 . would you like a ticket ?
i do not need a ticket just yet , but i do need the travel time and price .",train arrive by,09:15,09:06,search semantics
"i am looking for a place to stay in cambridge .
we have 33 location -s to stay , do you have any other requirement -s ?
i would like a moderate -ly priced hotel in the south , with free wifi .
bridge guest house is your choice . its located in 151 hills road . can i give you the address
you just gave me the address . does it have free parking ?
yes , both free internet and free parking . can i help you with anything else today ?
i am looking for a chinese restaurant as well . is there anything near the hotel ?
there are 3 chinese restaurant -s in the south . 2 are in the expensive range and 1 cheap . do you have a preference ?
i really need that to be in the south .",hotel type,,hotel,wrong value
